name,url
kub kao kub pla,https://food.grab.com/th/en/restaurant/kub-kao-kub-pla-%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A5%E0%B8%B2-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD-delivery/3-CYVENTJBAUBCE2
sanyod,https://food.grab.com/th/th/restaurant/sanyod-wok-%E0%B9%81%E0%B8%AA%E0%B8%99%E0%B8%A2%E0%B8%AD%E0%B8%94-%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%81%E0%B8%AD%E0%B8%99-delivery/3-C32EAKNZGJKCC6?
shari shari,https://food.grab.com/th/th/restaurant/shari-shari-%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B8%B4-%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B8%B4-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%98%E0%B8%A3%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5-2-delivery/THGFIST000000ce?
so vegan,https://food.grab.com/th/th/restaurant/so-vegan-%E0%B9%82%E0%B8%8B%E0%B8%A7%E0%B8%B5%E0%B9%81%E0%B8%81%E0%B8%99-%E0%B8%96-%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87-delivery/3-C2M1SGEBEJ5XJ6?
sook sathon vegan,https://food.grab.com/th/th/restaurant/%E0%B8%AA%E0%B8%B8%E0%B8%82-%E0%B8%AA%E0%B8%B2%E0%B8%97%E0%B8%A3-sook-sathorn-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%88-%E0%B8%A1%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%B4-vegan-grabkitchen-%E0%B8%9E%E0%B8%8D%E0%B8%B2%E0%B9%84%E0%B8%97-delivery/3-C3UYVEXFAKMGGT?
wraptor,https://food.grab.com/th/th/restaurant/wraptor-%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C-2-delivery/3-C3VHRN3HTE6ALT?
yayoi,https://food.grab.com/th/th/restaurant/yayoi-japanese-restaurant-%E0%B8%A2%E0%B8%B2%E0%B9%82%E0%B8%A2%E0%B8%AD%E0%B8%B4-%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C-delivery/3-CZCUANVECNMWLE?
madcow,https://food.grab.com/th/th/restaurant/madcow-burger-%E0%B9%80%E0%B8%A1%E0%B8%94%E0%B8%84%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B8%B5-asok-montri-road-delivery/THGFIST000007pu?
yumcha,https://food.grab.com/th/th/restaurant/yumcha-thecommons-saladaeng-delivery/3-C2AEC231JK4TN2?
kruakinkrata,https://food.grab.com/th/th/restaurant/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%81%E0%B8%B0%E0%B8%97%E0%B8%B0-%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3-delivery/3-C4DFNNLZVEWVEA?
coco ichobanya,https://food.grab.com/th/th/restaurant/coco-ichibanya-%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%84%E0%B9%88-%E0%B8%AD%E0%B8%B4%E0%B8%89%E0%B8%B4%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B8%B0-%E0%B8%A1%E0%B8%B2%E0%B8%9A%E0%B8%B8%E0%B8%8D%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87-delivery/3-CZAJAFMZNB6JE2?
LELE,https://food.grab.com/th/th/restaurant/lele-by-le-mai-anh-%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-delivery/3-C2UBA242J23WR2?
pizza company,https://food.grab.com/th/th/restaurant/the-pizza-company-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%9E%E0%B8%B4%E0%B8%8B%E0%B8%8B%E0%B9%88%E0%B8%B2-%E0%B8%84%E0%B8%AD%E0%B8%A1%E0%B8%9B%E0%B8%B0%E0%B8%99%E0%B8%B5-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%95%E0%B8%B9%E0%B8%99%E0%B9%89%E0%B8%B3-delivery/3-CYVZR7JBJ2JCJ2?
zong,https://food.grab.com/th/th/restaurant/zhong-ped-palow-%E0%B8%8B%E0%B9%89%E0%B8%87%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B8%9E%E0%B8%B0%E0%B9%82%E0%B8%A5%E0%B9%89-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%99-delivery/3-C2XFA2NXARKFBE?
RongsiPochana,https://food.grab.com/th/th/restaurant/rongsi-pochana-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%AA%E0%B8%B5%E0%B9%82%E0%B8%A0%E0%B8%8A%E0%B8%99%E0%B8%B2-%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%A3-%E0%B8%A7%E0%B8%B4%E0%B8%A5%E0%B9%80%E0%B8%A5%E0%B8%88-delivery/3-CY5XC333LKNVV2?
