shopName,name,imageSrc
kub-kao-kub-pla,ข้าวไข่ข้นหมูกรอบคั่วพริกเกลือ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201118015219131661/detail/b7b97fc1a0cc4b399df23f0df03e86fd_1634840673888131315.webp
kub-kao-kub-pla,ข้าวไข่ข้นเนื้อกระเทียมพริกไทย,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201001020422334386/detail/3bde09ed992c4a32816ce1ea6ada0638_1634840729425821356.webp
kub-kao-kub-pla,ข้าวผัดคั่วกลิ้งกระดูกหมู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021181927485220/detail/04e028c9ca154363b46eca00cd8abc0f_1634840362365616878.webp
kub-kao-kub-pla,ข้าวผัดต้มยำแห้งหมูหวาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021181912088301/detail/2042fe80931e47f29d50b25750e79f7b_1634840345944103495.webp
kub-kao-kub-pla,ข้าวหน้ากุ้งพริกขี้หนู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021181816322792/detail/d766be9ec98948f6b58e087580fc2bef_1634840290367946681.webp
kub-kao-kub-pla,ข้าวไข่ข้นปลาหมึกผัดพริกเผา,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201001020426015889/detail/3d4a9bc6afe54772a34005ba9424285a_1634840756721815434.webp
kub-kao-kub-pla,ข้าวผัดเห็ดหอมสด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021184056209298/detail/96e2affd92f54e008b516e36fe81ea85_1634841647978533788.webp
kub-kao-kub-pla,ผัดไทยมัง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021183922233115/detail/fa255249b4b04ef5b5ea004210bf28a6_1634841555151230726.webp
kub-kao-kub-pla,กะเพรามัง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021183949417005/detail/db88c09a908046bdbcad6680f27685c5_1634841586880259568.webp
kub-kao-kub-pla,ราดหน้าเผือกทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20220925161110466587/detail/fc06411014f34c5f846a453963f0c76f_1664122270515647955.webp
kub-kao-kub-pla,ราดหน้าเผือกทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021180805597698/detail/8d7508c9a5934a44a420f4cc8eca96e7_1634839678364442313.webp
kub-kao-kub-pla,ราดหน้าเผือกทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201001020423277943/detail/06fd14e5d6c84e6e989951dcbf0e7b64_1634841500336490766.webp
sanyod,เส้นหมี่ผัดกระเฉดกุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020052104174050990/detail/menueditor_item_ceaa44c8f6a5464ab666b864a1e2a936_1590034654707331459.webp
sanyod,ข้าวผัดหยางโจว,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021080518490941025/detail/menueditor_item_f9a11289a5d44368bbd9bfa93c40ffa8_1628189319227897677.webp
sanyod,ข้าวผัดหยางโจว,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3ENZBUT2/detail/c0ca3faf9b0b4340beb833f7f58de90f_1586744724700989799.webp
s-and-p,ข้าวต้มกุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210531153646381388/detail/b6a2038fa39d47e2959cbf838186a315_1652167732687319821.webp
sanyod,ข้าวต้มกุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3EE7JKPE/detail/menueditor_item_effa2c00a001491c9cbf62d9bfc6f8fd_1590040968553399744.webp
sanyod,หมี่ฮกเกี้ยน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020052107101646918/detail/menueditor_item_7222b5f430954618a67864e0aa5013c1_1590045013923471051.webp
sanyod,หมี่ฮกเกี้ยน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3FCJW1PA/detail/900bcbff5fbb43d393e4407f531b0621_1586744725181582115.webp
sanyod,หมี่ฮกเกี้ยนผัดซอสเป็ดย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3FCJW1PA/detail/900bcbff5fbb43d393e4407f531b0621_1586744725181582115.webp
sanyod,โกยซีหมี่ผัดแห้งปู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3GAADBLJ/detail/694007d760b84d37a78bcc6c67347f1c_1586744726036371660.webp
shari-shari,Tempura Mango & Mentaiko,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/AWjH5GNVkk5cOZVWvQIn/detail/14_af3020b4a97c4e2ba54a9feda60f34d5_1549541860232642930.webp
shari-shari,Tempura Mango & Mentaiko,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THGFIST000000ce1542576871796412626/detail/menueditor_item_025bca9159234d2fa77761edcb3fc2a0_1676895469248922522.webp
shari-shari,Tempura Mango & Mentaiko,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THGFIST000000ce1542576871906030474/detail/menueditor_item_1f9b25e9237b488580ab5e29b2e58600_1676895490571893861.webp
shari-shari,Bulgogi Buddy ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/AWjH5F43R-bAtZoKZlQc/detail/7_8ea1e0a40f41456ea3309aad00464688_1549541858904068402.webp
shari-shari,Bulgogi Buddy ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THGFIST000000ce1542576872248248859/detail/menueditor_item_e0134d84ee2f413cb48a805d4f008586_1676895557083858137.webp
shari-shari,Bulgogi Buddy ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THGFIST000000ce1542576872362604290/detail/menueditor_item_072a7a3546a24df4b4086d170051136e_1676895574303466246.webp
shari-shari,Tuna Cream Cheese ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022070606264474860/detail/menueditor_item_d3e9940bf0d7443ca4af43a4cbe4c23c_1657088770613045314.webp
shari-shari,Tuna Cream Cheese ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022070606254999194/detail/menueditor_item_f1a76c36b49f4a6497d000a03c3091cf_1657088696249266691.webp
ohkajhu,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210331090947212404/detail/00155d0fe1f14f89b1e1df3db4bca4ce_1654500958314440095.webp
ohkajhu,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210331090947333894/detail/f1db4b6574254f94820aa1636529a22b_1654500976246809514.webp
