title,imageSrc
ข้าวไข่ข้น ทูน่าแฮมชอสชีสลาวา,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023080914261759736/detail/menueditor_item_7e6b0eb7291e4ea0bd973bf3cfe55ef4_1691591161964028423.webp
ข้าวไข่ข้นยำ ทูน่าแฮม,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023080914253290396/detail/menueditor_item_e9ee44721e844dd5b5d96fc28522a254_1691591114989383027.webp
ข้าวไข่ข้น ทูน่าแฮมคั่วกระเทียม,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023080914250282367/detail/menueditor_item_47bfaed65a6b43a9a52e5ff1d831ab86_1691591083324103471.webp
ข้าวไข่ข้นน้ำตกไก่ทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060814583957289/detail/menueditor_item_c473efedc06d4aaca4af7df934f5de26_1686236295540327542.webp
ข้าวไข่ข้นไก่ทอดซอสไห่หนานby Enoch Teoof Fatt Chicken,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060814575069941/detail/menueditor_item_4081029bb37846f49718c1246ab2c9cc_1686236240374183367.webp
ข้าวไข่ข้นฮาวายเอียน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060814570525046/detail/menueditor_item_f790767db10a41ef9c7c895e8b5c7dd9_1686236213808081642.webp
ข้าวไข่ข้นหอยลายพริกเผา,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060814452244830/detail/menueditor_item_10e55272c5b74107b0d05eeccbb490d1_1686235497066371022.webp
ข้าวไข่ข้นคะน้าปลาเค็ม,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060814443559856/detail/menueditor_item_34e9756082274c6b8a17aabe74b506af_1686235455038695111.webp
ORANGE PASSION ICED COFFEE,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060716225249951/detail/menueditor_item_a7e4107716024e8c905e55cd22fa173e_1686154935362283565.webp
BANGKOK ICED LATTE,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060716220010250/detail/menueditor_item_4b5c49f45aeb404282934b7e9bae47ca_1686154889228634973.webp
MILOCA,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060716205030620/detail/menueditor_item_cd2a5f299025410f915e88fa10aa44dc_1686154821823437654.webp
PANDAN ICED LATTE,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060716200888187/detail/menueditor_item_14fd958d6c60470baa27f79377345a60_1686154750614170222.webp
เต้าหู้กระทะร้อนสูตรลับเชฟอิน็อค,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023082803131279062/detail/menueditor_item_7aadd5d401d44c77b414be1e433f2b85_1693192382656245569.webp
เนื้อริบอายกระทะร้อน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023082802465311838/detail/menueditor_item_6cb3589ab1084eeabfee292c3d8d4fc1_1693190790724274992.webp
เนื้อปูซอสสิงคโปร์สไปซี่,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023082802460995140/detail/menueditor_item_dc562353696f480f86b80ec139cdf767_1693190734934565455.webp
เกี๊ยวเสฉวนทอด ซอสหมาล่ามาโย,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022120116354289938/detail/menueditor_item_57f8f69d42e244759d4526c1dd1458b3_1669912497223698696.webp
เกี๊ยวเสฉวนซอสหมาล่า,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022120116343419222/detail/menueditor_item_bc4bf8cd1bdb470ca597751af3ec618b_1669912428829358226.webp
ไก่ต้มซอสหมาล่า,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022120116322192302/detail/menueditor_item_57b17670519443ccaee6bcf0fa96e8d5_1669912239404937546.webp
น้ำ ข้าวบาร์เลย์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403562481465/detail/menueditor_item_ac3d4a99ad41404cbbae21971848eb9d_1665719748858243234.webp
น้ำ เต้าหู้ออร์แกนิคเฉาก๊วย,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403553009626/detail/menueditor_item_f3278067686e482ebd38ba4f0829c435_1665719690061572065.webp
ลอดช่องสิงคโปร์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403533931761/detail/menueditor_item_95fbe70743e143cabc01d54cdd2df158_1665719580267196360.webp
ไข่ออนเซน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403522073197/detail/menueditor_item_e115ac1e356a49099f2e3fa77d6eaf2f_1665719515827838011.webp
