Restaurant name,Menu name,Image,Price,Tag
kub kao kub pla,"Box of joy set A 
(ข้าวสวย + ใบเหลียงผัดไข่ + ขาหมูคาราเมล + สะตอผัดกุ้งกะปิ+ ไข่ต้มยางมะตูม)",,259,rice
kub kao kub pla,"Box of joy set B
(ข้าวสวย + หมูผัดกะปิ + ดอกขจรผัดไข่ใส่วุ้นกุ้งเสียบ + แกงส้มชะอมไข่ทอดดอกขจรกุ้งสด+ ไข่ต้มยางมะตูม)",,259,rice
kub kao kub pla,"Box of joy set E
(ข้าวสวย + คั่วกลิ้งกระดูกหมูอ่อน + ต้มยำกุ้งน้ำข้น + ไข่เจียวปู + กุนเชียงทอด)",,259,rice
kub kao kub pla,"ข้าวไข่ข้นสตูวเนื้อวัว
(Rice topped with ox tongue stew and scrambled egg)",,285,rice
kub kao kub pla,"ข้าวไข่ข้นหมูกรอบคั่วพริกเกลือ
(Rice topped with stir-fried crispy pork with chili & salt and scrambled egg)",,285,rice
kub kao kub pla,"ข้าวไข่ข้นเนื้อกระเทียมพริกไทย
(Rice topped with stir-fried beef, garlic and scramble egg)",,285,rice
kub kao kub pla,"ข้าวผัดคั่วกลิ้งกระดูกหมู
(Stir-fried pork ribs and yellow curry paste with rice)",,250,rice
kub kao kub pla,"ข้าวผัดหมูเกาหลี
(Stir-fried pork with Korean sauce topped with rice)",,235,rice
kub kao kub pla,"ข้าวผัดต้มยำแห้งหมูหวาน
(Stir-fried sweet pork & rice with tom yum paste)",,235,rice
kub kao kub pla,"ข้าวผัดไตปลาแห้งกุนเชียง 
(Fried rice mixed with southern style fish curry and chinese sausage)",,225,rice
kub kao kub pla,"ข้าวหน้ากุ้งพริกขี้หนู
(Stir-fried hot chilli prawns topped with rice)",,255,rice
kub kao kub pla,"ข้าวไข่ข้นปลาหมึกผัดพริกเผา
(Rice topped with stir-fried squid with chili paste and scramble egg)",,265,rice
kub kao kub pla,"สปาเกตตี้ซอสเนื้อ
(Spaghetti bolognese)",,265,noodle
kub kao kub pla,"อูด้งคาโบนาร่ากุ้งซอสครีมไข่กุ้ง
(Udon carbonara with shrimp and Ebiko cream sauce)",,245,noodle
kub kao kub pla,"สปาเกตตี้คาโบนาร่า
(Spaghetti carbonara)",,250,noodle
kub kao kub pla,"มักกะโรนี แฮม กุ้ง
(Macaroni and cheese with shrimps and ham)",,250,noodle
kub kao kub pla,"ข้าวผัดเห็ดหอมสด
(Stir-fried fresh shiitake mushroom topped with rice)",,190,vegan
kub kao kub pla,"ผัดซีอิ๋วมัง
(Stir-fried noodles soy sauce with vegetable and tofu)",,180,vegan
kub kao kub pla,"ผัดไทยมัง
(Pad Thai vegetarian style)",,190,vegan
